WORD,SENTIMENT
absolute,neutral
absolutely,neutral
absorbed,neutral
accentuate,neutral
activist,neutral
activist,neutral
actual,neutral
actuality,neutral
actually,neutral
adolescents,neutral
adolescents,neutral
affect,neutral
affected,neutral
aha,neutral
air,neutral
alert,neutral
all-time,neutral
all-time,neutral
allegorize,neutral
alliance,neutral
alliances,neutral
alliances,neutral
allusion,neutral
allusion,neutral
allusions,neutral
altogether,neutral
amplify,neutral
analytical,neutral
anyhow,neutral
anyway,neutral
anyways,neutral
apparent,neutral
apparently,neutral
appear,neutral
appearance,neutral
appearance,neutral
apprehend,neutral
assess,neutral
assessment,neutral
assessment,neutral
assessments,neutral
assessments,neutral
assumption,neutral
assumption,neutral
astronomic,neutral
astronomical,neutral
astronomically,neutral
attitude,neutral
attitude,neutral
attitudes,neutral
attitudes,neutral
awareness,neutral
aware,neutral
baby,neutral
baby,neutral
basically,neutral
batons,neutral
batons,neutral
belief,neutral
belief,neutral
beliefs,neutral
beliefs,neutral
believe,neutral
besides,neutral
big,neutral
blood,neutral
broad-based,neutral
ceaseless,neutral
central,neutral
certain,neutral
certainly,neutral
certified,neutral
chant,neutral
chant,neutral
claim,neutral
clandestine,neutral
cogitate,neutral
cognizance,neutral
cognizance,neutral
cognizant,neutral
comment,neutral
comment,neutral
commentator,neutral
commentator,neutral
complete,neutral
completely,neutral
comprehend,neutral
concerning,neutral
concerning,neutral
concerted,neutral
confide,neutral
conjecture,neutral
conscience,neutral
consciousness,neutral
consciousness,neutral
consequently,neutral
consider,neutral
considerable,neutral
considerably,neutral
consideration,neutral
consideration,neutral
constitutions,neutral
constitutions,neutral
contemplate,neutral
continuous,neutral
corrective,neutral
could,neutral
covert,neutral
decide,neutral
deduce,neutral
deep,neutral
deeply,neutral
dependent,neutral
dependent,neutral
destiny,neutral
destiny,neutral
difference,neutral
difference,neutral
diplomacy,neutral
diplomacy,neutral
direct,neutral
discern,neutral
disposition,neutral
distinctly,neutral
dominant,neutral
dominant,neutral
downright,neutral
dramatic,neutral
dramatically,neutral
duty,neutral
effectively,neutral
elaborate,neutral
else,neutral
embodiment,neutral
emotion,neutral
emotion,neutral
emotions,neutral
emotions,neutral
emphasise,neutral
emphasise,neutral
engage,neutral
engross,neutral
enough,neutral
entire,neutral
entirely,neutral
entrenchment,neutral
entrenchment,neutral
evaluate,neutral
evaluation,neutral
evaluation,neutral
exact,neutral
exactly,neutral
exclusively,neutral
expectation,neutral
expectation,neutral
expound,neutral
expression,neutral
expression,neutral
expressions,neutral
expressions,neutral
extemporize,neutral
extensive,neutral
extensively,neutral
eyebrows,neutral
eyebrows,neutral
fact,neutral
facts,neutral
factual,neutral
familiar,neutral
familiar,neutral
far-reaching,neutral
fast,neutral
feel,neutral
feels,neutral
felt,neutral
feeling,neutral
feeling,neutral
feeling,neutral
feelings,neutral
feelings,neutral
finally,neutral
firm,neutral
firm,neutral
firmly,neutral
fixer,neutral
fixer,neutral
floor,neutral
forsee,neutral
foretell,neutral
forthright,neutral
fortress,neutral
fortress,neutral
frankly,neutral
frequent,neutral
full,neutral
fully,neutral
full-scale,neutral
fundamental,neutral
fundamentally,neutral
funded,neutral
further,neutral
furthermore,neutral
galvanize,neutral
gestures,neutral
gestures,neutral
giant,neutral
giant,neutral
giants,neutral
giants,neutral
gigantic,neutral
glean,neutral
greatly,neutral
growing,neutral
halfway,neutral
halfway,neutral
halt,neutral
heavy-duty,neutral
