DATE,VALUE
2015-11-09,43.87
2015-11-10,44.23
2015-11-11,42.95
2015-11-12,41.74
2015-11-13,40.69
2015-11-16,41.68
2015-11-17,40.73
2015-11-18,40.75
2015-11-19,40.55
2015-11-20,39.39
2015-11-23,39.27
2015-11-24,40.89
2015-11-25,41.22
2015-11-26,.
2015-11-27,40.57
2015-11-30,40.43
2015-12-01,40.58
2015-12-02,39.93
2015-12-03,41.08
2015-12-04,40.00
2015-12-07,37.64
2015-12-08,37.46
2015-12-09,37.16
2015-12-10,36.76
2015-12-11,35.65
2015-12-14,36.31
2015-12-15,37.32
2015-12-16,35.55
2015-12-17,34.98
2015-12-18,34.72
2015-12-21,34.55
2015-12-22,36.12
2015-12-23,36.76
2015-12-24,37.62
2015-12-25,.
2015-12-28,36.36
2015-12-29,37.88
2015-12-30,36.59
2015-12-31,37.13
2016-01-01,.
2016-01-04,36.81
2016-01-05,35.97
2016-01-06,33.97
2016-01-07,33.29
2016-01-08,33.20
2016-01-11,31.42
2016-01-12,30.42
2016-01-13,30.42
2016-01-14,31.22
2016-01-15,29.45
2016-01-18,.
2016-01-19,28.47
2016-01-20,26.68
2016-01-21,29.55
2016-01-22,32.07
2016-01-25,30.31
2016-01-26,29.54
2016-01-27,32.32
2016-01-28,33.21
2016-01-29,33.66
2016-02-01,31.62
2016-02-02,29.90
2016-02-03,32.29
2016-02-04,31.63
2016-02-05,30.86
2016-02-08,29.71
2016-02-09,27.96
2016-02-10,27.54
2016-02-11,26.19
2016-02-12,29.32
2016-02-15,.
2016-02-16,29.05
2016-02-17,30.68
2016-02-18,30.77
2016-02-19,29.59
2016-02-22,31.37
2016-02-23,31.84
2016-02-24,30.35
2016-02-25,31.40
2016-02-26,31.65
2016-02-29,32.74
2016-03-01,34.39
2016-03-02,34.57
2016-03-03,34.56
2016-03-04,35.91
2016-03-07,37.90
2016-03-08,36.67
2016-03-09,37.62
2016-03-10,37.77
2016-03-11,38.51
2016-03-14,37.20
2016-03-15,36.32
2016-03-16,38.43
2016-03-17,40.17
2016-03-18,39.47
2016-03-21,39.91
2016-03-22,41.45
2016-03-23,38.28
2016-03-24,38.14
2016-03-25,.
2016-03-28,37.99
2016-03-29,36.91
2016-03-30,36.91
2016-03-31,36.94
2016-04-01,35.36
2016-04-04,34.30
2016-04-05,34.52
2016-04-06,37.74
2016-04-07,37.30
2016-04-08,39.74
2016-04-11,40.46
2016-04-12,42.12
2016-04-13,41.70
2016-04-14,41.45
2016-04-15,40.40
2016-04-18,39.74
2016-04-19,40.88
2016-04-20,42.72
2016-04-21,43.18
2016-04-22,42.76
2016-04-25,41.67
2016-04-26,42.52
2016-04-27,45.29
2016-04-28,46.03
2016-04-29,45.98
2016-05-02,44.75
2016-05-03,43.65
2016-05-04,43.77
2016-05-05,44.33
2016-05-06,44.58
2016-05-09,43.45
2016-05-10,44.68
2016-05-11,46.21
2016-05-12,46.64
2016-05-13,46.22
2016-05-16,47.72
2016-05-17,48.29
2016-05-18,48.12
2016-05-19,48.16
2016-05-20,47.67
2016-05-23,48.12
2016-05-24,48.04
2016-05-25,49.10
2016-05-26,49.00
2016-05-27,49.36
2016-05-30,.
2016-05-31,49.10
2016-06-01,49.07
2016-06-02,49.14
2016-06-03,48.69
2016-06-06,49.71
2016-06-07,50.37
2016-06-08,51.23
2016-06-09,50.52
2016-06-10,49.09
2016-06-13,48.89
2016-06-14,48.49
2016-06-15,47.92
2016-06-16,46.14
2016-06-17,48.00
2016-06-20,49.40
2016-06-21,48.95
2016-06-22,49.16
2016-06-23,49.34
2016-06-24,46.70
2016-06-27,45.80
2016-06-28,47.93
2016-06-29,49.85
2016-06-30,48.27
2016-07-01,49.02
2016-07-04,.
2016-07-05,46.73
2016-07-06,47.37
2016-07-07,45.22
2016-07-08,45.37
2016-07-11,44.73
2016-07-12,46.82
2016-07-13,44.87
2016-07-14,45.64
2016-07-15,45.93
2016-07-18,45.23
2016-07-19,44.64
2016-07-20,44.96
2016-07-21,43.96
2016-07-22,43.41
2016-07-25,42.40
2016-07-26,42.16
2016-07-27,41.90
2016-07-28,41.13
2016-07-29,41.54
2016-08-01,40.05
2016-08-02,39.50
2016-08-03,40.80
2016-08-04,41.92
2016-08-05,41.83
2016-08-08,43.06
2016-08-09,42.78
2016-08-10,41.75
2016-08-11,43.51
2016-08-12,44.47
2016-08-15,45.72
2016-08-16,46.57
2016-08-17,46.81
2016-08-18,48.20
2016-08-19,48.48
2016-08-22,46.80
2016-08-23,47.54
2016-08-24,46.29
2016-08-25,46.97
2016-08-26,47.64
2016-08-29,46.97
2016-08-30,46.32
2016-08-31,44.68
2016-09-01,43.17
2016-09-02,44.39
2016-09-05,.
2016-09-06,44.85
2016-09-07,45.47
2016-09-08,47.63
2016-09-09,45.88
2016-09-12,46.28
2016-09-13,44.91
2016-09-14,43.62
2016-09-15,43.85
2016-09-16,43.04
2016-09-19,43.34
2016-09-20,43.85
2016-09-21,45.33
2016-09-22,46.10
2016-09-23,44.36
2016-09-26,45.60
2016-09-27,44.65
2016-09-28,47.07
2016-09-29,47.72
2016-09-30,47.72
2016-10-03,48.80
2016-10-04,48.67
2016-10-05,49.75
2016-10-06,50.44
2016-10-07,49.76
2016-10-10,49.76
2016-10-11,50.72
2016-10-12,50.14
2016-10-13,50.47
2016-10-14,50.35
2016-10-17,49.97
2016-10-18,50.30
2016-10-19,51.59
2016-10-20,50.31
2016-10-21,50.61
2016-10-24,50.18
2016-10-25,49.45
2016-10-26,48.75
2016-10-27,49.71
2016-10-28,48.72
2016-10-31,46.83
2016-11-01,46.66
2016-11-02,45.32
2016-11-03,44.66
2016-11-04,44.07
2016-11-07,44.88
