,0,1
0,Companies,@Xi Computer Corporation
1,Companies,A. O. Smith
2,Companies,A. Schulman
3,Companies,A&amp;W Restaurants
4,Companies,"a21, Inc."
5,Companies,"Aaron's, Inc."
6,Companies,Abbott Laboratories
7,Companies,AbbVie
8,Companies,Abercrombie &amp; Fitch
9,Companies,ABM Industries
10,Companies,ABS Capital Partners
11,Companies,ABX Air
12,Companies,AC Lens
13,Companies,Academi
14,Companies,"Access Systems Americas, Inc."
15,Companies,ACCO Brands
16,Companies,Accuquote
17,Companies,Accuride Corporation
18,Companies,Ace Hardware
19,Companies,Acme Brick
20,Companies,Acme Fresh Market
21,Companies,ACN Inc.
22,Companies,Acsis Inc.
23,Companies,Activision
24,Companies,Activision Blizzard
25,Companies,Acuity Brands
26,Companies,Acuity Insurance
27,Companies,Adaptec
28,Companies,ADC Telecommunications
29,Companies,Adobe Systems
30,Companies,ADT Corp
31,Companies,ADTRAN
32,Companies,Advance Auto Parts
33,Companies,Advance Publications
34,Companies,Advanced Micro Devices
35,Companies,Advent International
36,Companies,AECOM
37,Companies,Aerojet Rocketdyne
