"State	Population	Region	Avg Income	Dens/sqmi	% of Pop that is urban"
"CT	3597000	NE	65753	742.6	88"
"NJ	8938000	NE	69825	1210.1	94.7"
"MA	6745000	NE	64859	858	92"
"NY	19750000	NE	55246	417	87.9"
"NH	1327000	NE	64712	147.8	60.3"
"RI	1055000	NE	53636	1017.1	90.7"
"PA	12790000	NE	50228	285.5	78.7"
"VT	626562	NE	52776	68	38.9"
"ME	1330000	NE	46033	43.1	38.7"
"VA	8326000	S	62881	209.2	75.5"
"DE	935614	S	57954	457.1	83.3"
"MD	5976000	S	70004	610.8	87.2"
"NC	9944000	S	43916	202.6	66.1"
"GA	10100000	S	46007	173.7	75.1"
"IN	6597000	S	46438	183.4	72.4"
"SC	4832000	S	42367	158.8	66.3"
"DC	658893	S	65124	10588.8	100"
"OR	3970000	W	46816	40.9	81"
"FL	19890000	S	44299	364.6	91.2"
"WA	7062000	W	57835	104.9	84.1"
"TX	26960000	S	49392	101.2	84.7"
"HI	1420000	W	62814	218.6	91.9"
"AK	736732	W	60287	1.3	66"
"CA	38800000	W	67458	246.1	95"
"AZ	6731000	W	46709	58.3	89.8"
"NV	2839000	W	48927	25.4	94.2"
"CO	5356000	W	55387	50.8	86.2"
"OH	11590000	MW	45749	283.2	77.9"
"MT	1024000	W	44222	7	55.9"
"WV	1850000	S	38482	77.1	48.7"
"ID	1634000	W	43341	19.5	70.6"
"TN	6549000	S	41693	157.5	66.4"
"NM	2086000	W	41963	17.2	77.4"
"IL	12880000	MW	53234	232	88.5"
"KY	4413000	S	41141	111.3	58.4"
"WY	584153	W	56322	6	64.8"
"MI	9910000	MW	45981	175	74.6"
"MN	5457000	MW	61814	68.1	73.3"
"KS	2904000	MW	48964	35.4	74.2"
"AL	4849000	S	41415	95.4	59"
"NE	1882000	MW	50296	24.3	73.1"
"OK	3878000	S	43225	56.1	66.2"
"MO	6064000	MW	45247	87.9	70.4"
"LA	3884000	S	41734	107.1	73.2"
"WI	5758000	MW	50395	106	70.2"
"AR	2966000	S	38758	56.9	56.2"
"UT	2943000	W	55869	35.3	90.6"
"IA	3107000	MW	49427	55.3	64"
"SD	853175	MW	48321	11.1	56.7"
"ND	739482	MW	51704	10.5	59.9"
"MS	2994000	S	36919	63.7	49.4"
"All	0	N/A	0	0	0"
