Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0500000US19001,19001,"Adair County, Iowa",53,47,0,0,1,0,5
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0500000US19001,19001,"Adair County, Iowa",3822,3783,6,1,13,0,19
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0500000US19001,19001,"Adair County, Iowa",3875,3830,6,1,14,0,24
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0500000US19001,19001,"Adair County, Iowa",48,40,1,0,0,0,7
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0500000US19001,19001,"Adair County, Iowa",3759,3727,5,3,9,1,14
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0500000US19001,19001,"Adair County, Iowa",3807,3767,6,3,9,1,21
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0500000US19001,19001,"Adair County, Iowa",101,87,1,0,1,0,12
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0500000US19001,19001,"Adair County, Iowa",7581,7510,11,4,22,1,33
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0500000US19001,19001,"Adair County, Iowa",7682,7597,12,4,23,1,45
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0500000US19001,19001,"Adair County, Iowa",53,47,0,0,1,0,5
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0500000US19001,19001,"Adair County, Iowa",3822,3783,6,1,13,0,19
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0500000US19001,19001,"Adair County, Iowa",3875,3830,6,1,14,0,24
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0500000US19001,19001,"Adair County, Iowa",48,40,1,0,0,0,7
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0500000US19001,19001,"Adair County, Iowa",3759,3727,5,3,9,1,14
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0500000US19001,19001,"Adair County, Iowa",3807,3767,6,3,9,1,21
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0500000US19001,19001,"Adair County, Iowa",101,87,1,0,1,0,12
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0500000US19001,19001,"Adair County, Iowa",7581,7510,11,4,22,1,33
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0500000US19001,19001,"Adair County, Iowa",7682,7597,12,4,23,1,45
est72010,"July 1, 2010",female,Female,hisp,Hispanic,0500000US19001,19001,"Adair County, Iowa",53,48,0,0,1,0,4
est72010,"July 1, 2010",female,Female,nhisp,Not Hispanic,0500000US19001,19001,"Adair County, Iowa",3816,3775,6,1,14,0,20
est72010,"July 1, 2010",female,Female,tothisp,Total,0500000US19001,19001,"Adair County, Iowa",3869,3823,6,1,15,0,24
est72010,"July 1, 2010",male,Male,hisp,Hispanic,0500000US19001,19001,"Adair County, Iowa",54,46,1,0,0,0,7
