GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0500000US19001,19001,"Adair County, Iowa",7682,7682,7665,7562,7488,7436,7417,7228
0500000US19003,19003,"Adams County, Iowa",4029,4029,4026,3996,3907,3892,3871,3796
0500000US19005,19005,"Allamakee County, Iowa",14330,14328,14350,14199,14123,14033,14061,13886
0500000US19007,19007,"Appanoose County, Iowa",12887,12887,12860,12857,12697,12633,12628,12529
0500000US19009,19009,"Audubon County, Iowa",6119,6119,6111,6018,5881,5880,5793,5773
0500000US19011,19011,"Benton County, Iowa",26076,26076,26057,26130,25850,25718,25659,25658
0500000US19013,19013,"Black Hawk County, Iowa",131090,131090,131174,131454,131734,132716,133121,133455
0500000US19015,19015,"Boone County, Iowa",26306,26306,26279,26340,26239,26363,26420,26643
0500000US19017,19017,"Bremer County, Iowa",24276,24276,24286,24363,24459,24553,24598,24722
0500000US19019,19019,"Buchanan County, Iowa",20958,20958,20959,20894,20957,20988,21087,21062
0500000US19021,19021,"Buena Vista County, Iowa",20260,20260,20324,20247,20541,20574,20680,20493
0500000US19023,19023,"Butler County, Iowa",14867,14867,14905,14953,14987,15004,14972,14915
0500000US19025,19025,"Calhoun County, Iowa",9670,10177,10172,10064,9916,9913,9857,9818
0500000US19027,19027,"Carroll County, Iowa",20816,20816,20828,20849,20675,20571,20554,20498
0500000US19029,19029,"Cass County, Iowa",13956,13956,13935,13783,13722,13592,13424,13427
0500000US19031,19031,"Cedar County, Iowa",18499,18495,18489,18418,18397,18339,18380,18340
0500000US19033,19033,"Cerro Gordo County, Iowa",44151,44151,44114,43972,43714,43491,43211,43017
