GEO.id,GEO.id2,GEO.display-label,hucen42010,hubase42010,huest72010,huest72011,huest72012,huest72013,huest72014,huest72015
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Housing Unit Estimate (as of July 1) - 2010,Housing Unit Estimate (as of July 1) - 2011,Housing Unit Estimate (as of July 1) - 2012 ,Housing Unit Estimate (as of July 1) - 2013,Housing Unit Estimate (as of July 1) - 2014,Housing Unit Estimate (as of July 1) - 2015
0500000US19001,19001,"Adair County, Iowa",3698,3698,3697,3691,3684,3679,3674,3671
0500000US19003,19003,"Adams County, Iowa",2010,2010,2012,2009,2009,2010,2010,2007
0500000US19005,19005,"Allamakee County, Iowa",7617,7616,7616,7621,7621,7628,7650,7667
0500000US19007,19007,"Appanoose County, Iowa",6633,6633,6630,6618,6605,6590,6578,6567
0500000US19009,19009,"Audubon County, Iowa",2972,2972,2977,2999,2997,2997,2997,2995
0500000US19011,19011,"Benton County, Iowa",11095,11095,11094,11084,11080,11079,11080,11085
0500000US19013,19013,"Black Hawk County, Iowa",55887,55887,55917,56090,56301,56658,56887,57069
0500000US19015,19015,"Boone County, Iowa",11756,11756,11757,11757,11767,11778,11793,11806
0500000US19017,19017,"Bremer County, Iowa",9915,9915,9930,9961,9995,10069,10136,10200
0500000US19019,19019,"Buchanan County, Iowa",8968,8968,8968,8971,8964,8984,8990,9005
0500000US19021,19021,"Buena Vista County, Iowa",8237,8237,8235,8225,8225,8226,8299,8293
0500000US19023,19023,"Butler County, Iowa",6682,6682,6694,6704,6703,6716,6731,6737
0500000US19025,19025,"Calhoun County, Iowa",5108,5108,5106,5102,5088,5087,5088,5088
0500000US19027,19027,"Carroll County, Iowa",9376,9376,9378,9385,9394,9406,9419,9427
0500000US19029,19029,"Cass County, Iowa",6591,6591,6588,6582,6577,6568,6564,6562
0500000US19031,19031,"Cedar County, Iowa",8064,8062,8066,8073,8081,8087,8115,8124
0500000US19033,19033,"Cerro Gordo County, Iowa",22163,22163,22174,22170,22155,22201,22237,22281
0500000US19035,19035,"Cherokee County, Iowa",5777,5777,5777,5775,5778,5780,5791,5780
0500000US19037,19037,"Chickasaw County, Iowa",5679,5679,5680,5674,5682,5674,5664,5660
0500000US19039,19039,"Clarke County, Iowa",4086,4086,4096,4145,4136,4129,4132,4129
0500000US19041,19041,"Clay County, Iowa",8062,8062,8062,8058,8044,8074,8112,8117
0500000US19043,19043,"Clayton County, Iowa",8999,8999,9002,8997,9027,9025,9032,9036
0500000US19045,19045,"Clinton County, Iowa",21733,21733,21734,21753,21735,21762,21792,21836
0500000US19047,19047,"Crawford County, Iowa",6943,6943,6941,6943,6952,6956,6985,6984
0500000US19049,19049,"Dallas County, Iowa",27260,27261,27346,27679,28385,29007,29879,31144
0500000US19051,19051,"Davis County, Iowa",3600,3600,3599,3594,3587,3583,3578,3576
0500000US19053,19053,"Decatur County, Iowa",3834,3834,3834,3830,3849,3846,3847,3845
0500000US19055,19055,"Delaware County, Iowa",8028,8028,8027,8019,8021,8014,8026,8027
0500000US19057,19057,"Des Moines County, Iowa",18535,18535,18529,18509,18479,18465,18463,18456
0500000US19059,19059,"Dickinson County, Iowa",12849,12849,12864,12922,12983,13073,13191,13300
0500000US19061,19061,"Dubuque County, Iowa",38951,38951,39032,39466,39774,40078,40364,40588
0500000US19063,19063,"Emmet County, Iowa",4758,4758,4757,4768,4764,4756,4752,4786
0500000US19065,19065,"Fayette County, Iowa",9558,9558,9556,9539,9545,9531,9521,9538
0500000US19067,19067,"Floyd County, Iowa",7526,7526,7523,7517,7514,7506,7516,7523
0500000US19069,19069,"Franklin County, Iowa",4894,4894,4892,4882,4876,4869,4860,4850
0500000US19071,19071,"Fremont County, Iowa",3431,3431,3435,3437,3441,3446,3445,3446
0500000US19073,19073,"Greene County, Iowa",4546,4547,4546,4547,4546,4540,4533,4531
0500000US19075,19075,"Grundy County, Iowa",5530,5530,5530,5530,5533,5536,5549,5555
0500000US19077,19077,"Guthrie County, Iowa",5756,5756,5756,5748,5748,5746,5749,5749
0500000US19079,19079,"Hamilton County, Iowa",7219,7219,7217,7204,7194,7183,7184,7175
0500000US19081,19081,"Hancock County, Iowa",5330,5330,5330,5325,5303,5304,5308,5315
0500000US19083,19083,"Hardin County, Iowa",8224,8224,8221,8202,8189,8182,8175,8162
0500000US19085,19085,"Harrison County, Iowa",6731,6733,6734,6733,6729,6744,6747,6755
0500000US19087,19087,"Henry County, Iowa",8280,8280,8281,8277,8270,8266,8274,8278
0500000US19089,19089,"Howard County, Iowa",4367,4367,4367,4365,4363,4365,4365,4359
0500000US19091,19091,"Humboldt County, Iowa",4684,4683,4683,4682,4675,4674,4684,4696
0500000US19093,19093,"Ida County, Iowa",3426,3426,3426,3428,3429,3428,3430,3433
0500000US19095,19095,"Iowa County, Iowa",7258,7258,7259,7254,7253,7258,7267,7277
0500000US19097,19097,"Jackson County, Iowa",9415,9415,9414,9408,9426,9445,9458,9480
0500000US19099,19099,"Jasper County, Iowa",16181,16181,16182,16173,16164,16157,16160,16157
0500000US19101,19101,"Jefferson County, Iowa",7594,7594,7591,7580,7563,7551,7542,7539
0500000US19103,19103,"Johnson County, Iowa",55967,55967,56108,56497,57115,57828,58777,59787
0500000US19105,19105,"Jones County, Iowa",8911,8911,8914,8915,8910,8907,8907,8902
0500000US19107,19107,"Keokuk County, Iowa",4931,4931,4930,4923,4910,4898,4886,4875
0500000US19109,19109,"Kossuth County, Iowa",7486,7486,7490,7490,7485,7483,7481,7483
0500000US19111,19111,"Lee County, Iowa",16205,16205,16198,16286,16248,16210,16173,16164
0500000US19113,19113,"Linn County, Iowa",92251,92251,92479,93067,93324,93871,94662,95333
0500000US19115,19115,"Louisa County, Iowa",5002,5002,5007,5006,5015,5013,5006,5004
0500000US19117,19117,"Lucas County, Iowa",4238,4238,4236,4229,4223,4215,4204,4199
0500000US19119,19119,"Lyon County, Iowa",4848,4848,4848,4855,4894,4931,4964,4991
0500000US19121,19121,"Madison County, Iowa",6554,6554,6559,6573,6604,6641,6684,6728
0500000US19123,19123,"Mahaska County, Iowa",9766,9766,9766,9751,9747,9738,9726,9802
0500000US19125,19125,"Marion County, Iowa",13914,13914,13917,13929,13936,13952,13984,14077
0500000US19127,19127,"Marshall County, Iowa",16831,16831,16826,16796,16791,16739,16718,16708
0500000US19129,19129,"Mills County, Iowa",6109,6109,6109,6111,6106,6097,6088,6080
0500000US19131,19131,"Mitchell County, Iowa",4850,4849,4848,4860,4872,4888,4916,4939
0500000US19133,19133,"Monona County, Iowa",4697,4697,4698,4700,4717,4719,4715,4716
0500000US19135,19135,"Monroe County, Iowa",3884,3884,3884,3887,3888,3888,3892,3961
0500000US19137,19137,"Montgomery County, Iowa",5239,5239,5237,5230,5217,5209,5200,5198
0500000US19139,19139,"Muscatine County, Iowa",17910,17912,17912,17905,17912,17895,17997,18031
0500000US19141,19141,"O'Brien County, Iowa",6649,6649,6650,6642,6636,6634,6635,6647
0500000US19143,19143,"Osceola County, Iowa",2990,2990,2991,2984,2977,2974,2968,2961
0500000US19145,19145,"Page County, Iowa",7181,7181,7178,7172,7196,7195,7186,7178
0500000US19147,19147,"Palo Alto County, Iowa",4628,4628,4628,4622,4617,4612,4617,4599
0500000US19149,19149,"Plymouth County, Iowa",10550,10547,10549,10565,10592,10617,10668,10688
0500000US19151,19151,"Pocahontas County, Iowa",3794,3794,3793,3787,3782,3776,3771,3765
0500000US19153,19153,"Polk County, Iowa",182262,182260,182599,184250,185882,188830,192796,195114
0500000US19155,19155,"Pottawattamie County, Iowa",39330,39328,39350,39414,39455,39528,39588,39616
0500000US19157,19157,"Poweshiek County, Iowa",8949,8949,8953,8948,8946,8941,8952,9053
0500000US19159,19159,"Ringgold County, Iowa",2613,2613,2611,2608,2612,2609,2605,2602
0500000US19161,19161,"Sac County, Iowa",5429,5429,5428,5419,5414,5410,5407,5399
0500000US19163,19163,"Scott County, Iowa",71835,71835,71921,72178,72505,72795,73039,73279
0500000US19165,19165,"Shelby County, Iowa",5542,5542,5544,5541,5567,5562,5561,5566
0500000US19167,19167,"Sioux County, Iowa",12279,12279,12295,12350,12404,12493,12582,12659
0500000US19169,19169,"Story County, Iowa",36789,36789,36800,36883,37262,37638,38101,38569
0500000US19171,19171,"Tama County, Iowa",7766,7766,7768,7763,7757,7757,7753,7748
0500000US19173,19173,"Taylor County, Iowa",3107,3107,3108,3103,3096,3094,3091,3085
0500000US19175,19175,"Union County, Iowa",5937,5937,5940,5930,5914,5914,5907,5904
0500000US19177,19177,"Van Buren County, Iowa",3670,3670,3669,3659,3641,3631,3623,3616
0500000US19179,19179,"Wapello County, Iowa",16098,16098,16093,16070,16037,16027,16019,15999
0500000US19181,19181,"Warren County, Iowa",18371,18372,18421,18652,18735,18875,19158,19315
0500000US19183,19183,"Washington County, Iowa",9516,9516,9519,9529,9523,9520,9540,9570
0500000US19185,19185,"Wayne County, Iowa",3212,3212,3211,3203,3197,3189,3181,3177
0500000US19187,19187,"Webster County, Iowa",17035,17035,17029,17007,17012,17020,17035,17016
0500000US19189,19189,"Winnebago County, Iowa",5194,5194,5193,5184,5185,5177,5183,5181
0500000US19191,19191,"Winneshiek County, Iowa",8721,8722,8727,8743,8762,8780,8812,8838
0500000US19193,19193,"Woodbury County, Iowa",41484,41487,41483,41455,41427,41447,41509,41560
0500000US19195,19195,"Worth County, Iowa",3548,3548,3547,3542,3536,3527,3523,3518
0500000US19197,19197,"Wright County, Iowa",6529,6529,6526,6516,6507,6498,6494,6493
