Uber,68.00,68 B,8/23/13,United States,On-Demand,"Lowercase Capital, Benchmark Capital, Google Ventures",,,
Xiaomi,46.00,46 B,12/21/11,China,Hardware,"Digital Sky Technologies, QiMing Venture Partners, Qualcomm Ventures",,,
Didi Chuxing,33.80,33.8 B,12/31/14,China,On-Demand,"Matrix Partners, Tiger Global Management, Softbank Corp.,",,,
Airbnb,30.00,30 B,7/26/11,United States,eCommerce/Marketplace,"General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures",,,
Palantir Technologies,20.00,20 B,5/5/11,United States,Big Data,"RRE Ventures, Founders Fund, In-Q-Tel",,,
Lu.com,18.50,18.5 B,12/26/14,China,Fintech,"Ping An Insurance CDH Investments, Bank of China",,,
China Internet Plus Holding,18.00,18 B,12/22/15,China,eCommerce/Marketplace,"DST Global, Trustbridge Partners, Capital Today",,,
Snapchat,18.00,18 B,12/11/13,United States,Social,"Benchmark Capital, General Catalyst Partners, Lightspeed Venture Partners",,,
WeWork,16.90,16.9 B,2/3/14,United States,Facilities,"T. Rowe Price, Benchmark Capital, Wellington Management",,,
Flipkart,16.00,16 B,8/6/12,India,eCommerce/Marketplace,"Accel Partners, Digital Sky Technologies, Iconiq Capital",,,
SpaceX,12.00,12 B,12/1/12,United States,Other Transportation,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",,,
Pinterest,11.00,11 B,5/19/12,United States,Social,"Andreessen Horowitz, Bessemer Venture Partners, Firstmark Capital",,,
Dropbox,10.00,10 B,10/5/11,United States,Internet Software & Services,"Accel Partners, Greylock Partners, Index Ventures",,,
DJI Innovations,10.00,10 B,5/6/15,China,Hardware,"Accel Partners, Sequoia Capital",,,
Spotify,8.53,8.53 B,6/17/11,Sweden,Internet Software & Services,"Horizons Ventures, Norwest Venture Partners, Technology Crossover Ventures",,,
Zhong An Insurance,8.00,8 B,6/11/15,China,Fintech,"SAIF partners, CDH Investments, Morgan Stanley",,,
Snapdeal,7.00,7 B,5/21/14,India,eCommerce/Marketplace,"Intel Capital, Kalaari Capital, Nexus Venture Partners",,,
Lianjia,6.20,6.2 B,4/8/16,China,eCommerce/Marketplace,"Tencent, Baidu, Huasheng Capital",,,
Lyft,5.50,5.5 B,3/12/15,United States,On-Demand,"Founders Fund, Mayfield Fund, Floodgate",,,
